leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
0.6096,0.7604,2.2202,0.5136,0.2568,0.8,1,4,1.524,0.45
0.6858,0.8366,2.2964,0.5136,0.2568,0.9,1,4,1.524,0.45
0.762,0.9128,2.3726,0.5136,0.2568,1,1,4,1.524,0.45
0.4572,0.5486,2.0715,0.5447,0.2421,0.6,0,4.5,1.524,0.45
0.5334,0.5486,2.1477,0.5447,0.2421,0.7,0,4.5,1.524,0.45
0.6096,0.5486,2.2239,0.5447,0.2421,0.8,0,4.5,1.524,0.45
0.6858,0.5486,2.3001,0.5447,0.2421,0.9,0,4.5,1.524,0.45
0.762,0.5486,2.3763,0.5447,0.2421,1,0,4.5,1.524,0.45
0.4572,0.5635,2.0715,0.5447,0.2421,0.6,0.25,4.5,1.524,0.45
0.5334,0.5825,2.1477,0.5447,0.2421,0.7,0.25,4.5,1.524,0.45
0.6096,0.6016,2.2239,0.5447,0.2421,0.8,0.25,4.5,1.524,0.45
0.6858,0.6206,2.3001,0.5447,0.2421,0.9,0.25,4.5,1.524,0.45
0.762,0.6397,2.3763,0.5447,0.2421,1,0.25,4.5,1.524,0.45
0.4572,0.5783,2.0715,0.5447,0.2421,0.6,0.5,4.5,1.524,0.45
0.5334,0.6164,2.1477,0.5447,0.2421,0.7,0.5,4.5,1.524,0.45
0.6096,0.6545,2.2239,0.5447,0.2421,0.8,0.5,4.5,1.524,0.45
0.6858,0.6926,2.3001,0.5447,0.2421,0.9,0.5,4.5,1.524,0.45
0.762,0.7307,2.3763,0.5447,0.2421,1,0.5,4.5,1.524,0.45
0.4572,0.5932,2.0715,0.5447,0.2421,0.6,0.75,4.5,1.524,0.45
0.5334,0.6503,2.1477,0.5447,0.2421,0.7,0.75,4.5,1.524,0.45
0.6096,0.7075,2.2239,0.5447,0.2421,0.8,0.75,4.5,1.524,0.45
0.6858,0.7646,2.3001,0.5447,0.2421,0.9,0.75,4.5,1.524,0.45
0.762,0.8218,2.3763,0.5447,0.2421,1,0.75,4.5,1.524,0.45
0.4572,0.608,2.0715,0.5447,0.2421,0.6,1,4.5,1.524,0.45
0.5334,0.6842,2.1477,0.5447,0.2421,0.7,1,4.5,1.524,0.45
0.6096,0.7604,2.2239,0.5447,0.2421,0.8,1,4.5,1.524,0.45
0.6858,0.8366,2.3001,0.5447,0.2421,0.9,1,4.5,1.524,0.45
0.762,0.9128,2.3763,0.5447,0.2421,1,1,4.5,1.524,0.45
0.4572,0.5486,2.0746,0.5742,0.2297,0.6,0,5,1.524,0.45
0.5334,0.5486,2.1508,0.5742,0.2297,0.7,0,5,1.524,0.45
0.6096,0.5486,2.227,0.5742,0.2297,0.8,0,5,1.524,0.45
0.6858,0.5486,2.3032,0.5742,0.2297,0.9,0,5,1.524,0.45
0.762,0.5486,2.3794,0.5742,0.2297,1,0,5,1.524,0.45
0.4572,0.5635,2.0746,0.5742,0.2297,0.6,0.25,5,1.524,0.45
0.5334,0.5825,2.1508,0.5742,0.2297,0.7,0.25,5,1.524,0.45
0.6096,0.6016,2.227,0.5742,0.2297,0.8,0.25,5,1.524,0.45
0.6858,0.6206,2.3032,0.5742,0.2297,0.9,0.25,5,1.524,0.45
0.762,0.6397,2.3794,0.5742,0.2297,1,0.25,5,1.524,0.45
0.4572,0.5783,2.0746,0.5742,0.2297,0.6,0.5,5,1.524,0.45
